"Date","Price","Open","High","Low","Vol.","Change %"
"05/05/2021","377.80","382.45","382.59","376.49","139.26M","-1.57%"
"05/04/2021","383.84","385.98","387.50","381.92","147.27M","-0.54%"
"05/03/2021","385.92","388.34","388.65","385.45","157.33M","-0.37%"
"04/30/2021","387.37","384.85","388.07","383.96","180.91M","0.44%"
"04/29/2021","385.69","384.86","386.97","383.06","158.91M","0.85%"
"04/28/2021","382.44","384.74","384.97","382.11","139.44M","-0.46%"
"04/27/2021","384.19","385.10","385.38","383.38","135.17M","-0.01%"
"04/26/2021","384.24","385.07","386.14","383.27","128.50M","0.24%"
"04/23/2021","383.31","382.02","384.09","380.97","124.04M","0.56%"
"04/22/2021","381.19","382.22","384.41","380.45","126.23M","-0.40%"
"04/21/2021","382.72","381.72","383.58","380.36","130.90M","0.43%"
"04/20/2021","381.07","376.50","381.66","376.50","153.17M","1.02%"
"04/19/2021","377.24","376.56","377.26","374.37","127.51M","0.27%"
"04/16/2021","376.22","376.93","377.39","375.09","144.29M","0.22%"
"04/15/2021","375.41","370.88","375.45","370.78","163.03M","1.79%"
"04/14/2021","368.82","371.16","373.00","368.59","129.92M","-0.69%"
"04/13/2021","371.39","368.92","371.63","368.38","125.70M","0.65%"
"04/12/2021","369.00","367.80","369.06","364.79","120.13M","0.51%"
"04/09/2021","367.14","367.55","367.73","365.90","102.53M","0.05%"
"04/08/2021","366.96","368.20","369.98","366.77","113.89M","-0.40%"
"04/07/2021","368.43","368.80","369.35","365.43","122.12M","0.08%"
"04/06/2021","368.15","366.42","368.16","365.31","143.87M","0.30%"
"04/05/2021","367.04","367.24","367.41","363.61","136.38M","0.35%"
"04/01/2021","365.75","361.15","365.89","359.75","139.94M","1.88%"
"03/31/2021","359.01","359.59","363.13","357.74","178.05M","-0.51%"
"03/30/2021","360.84","360.49","362.03","359.76","125.50M","-0.31%"
"03/29/2021","361.96","362.11","363.74","358.44","138.56M","-0.37%"
"03/26/2021","363.32","357.46","363.53","356.63","138.68M","2.20%"
"03/25/2021","355.51","351.98","356.30","348.54","158.46M","0.83%"
"03/24/2021","352.59","353.93","356.93","352.58","153.70M","-0.56%"
"03/23/2021","354.56","354.13","357.13","352.93","151.76M","0.10%"
"03/22/2021","354.19","350.61","355.04","349.85","132.77M","0.97%"
"03/19/2021","350.78","355.53","356.87","350.78","272.30M","-1.29%"
"03/18/2021","355.36","356.42","356.95","353.67","144.52M","-0.89%"
"03/17/2021","358.55","357.79","358.69","354.83","144.33M","-0.01%"
"03/16/2021","358.59","360.14","360.77","357.10","142.67M","-0.25%"
"03/15/2021","359.48","354.96","360.44","353.52","176.86M","1.38%"
"03/12/2021","354.57","348.41","354.59","348.31","171.00M","1.58%"
"03/11/2021","349.06","345.98","351.35","345.66","156.18M","1.10%"
"03/10/2021","345.25","343.32","347.21","342.12","139.22M","0.91%"
"03/09/2021","342.15","341.51","344.94","341.51","146.32M","0.73%"
"03/08/2021","339.66","338.92","343.35","336.37","168.70M","0.61%"
"03/05/2021","337.59","336.02","338.68","328.49","191.98M","1.27%"
"03/04/2021","333.36","337.29","339.57","329.96","221.74M","-0.97%"
"03/03/2021","336.62","339.30","340.02","336.12","169.51M","-0.89%"
"03/02/2021","339.65","342.05","342.09","337.54","161.22M","-0.77%"
"03/01/2021","342.27","345.64","348.01","342.16","164.87M","0.23%"
"02/26/2021","341.47","347.10","347.88","341.42","201.01M","-1.54%"
"02/25/2021","346.82","351.92","354.98","344.58","192.52M","-1.63%"
"02/24/2021","352.58","350.67","353.64","349.47","178.63M","0.58%"
"02/23/2021","350.55","350.54","351.60","348.55","169.41M","0.49%"
"02/22/2021","348.84","346.15","350.21","345.04","184.52M","0.55%"
"02/19/2021","346.93","346.49","349.14","345.77","165.76M","0.43%"
"02/18/2021","345.44","345.36","346.64","344.77","142.98M","-0.29%"
"02/17/2021","346.44","345.92","347.14","344.61","146.95M","-0.11%"
"02/16/2021","346.83","351.44","351.44","345.08","160.00M","-1.00%"
"02/12/2021","350.35","349.17","350.68","347.55","132.94M","0.04%"
"02/11/2021","350.21","350.33","351.92","348.39","169.04M","0.02%"
"02/10/2021","350.14","349.77","352.54","348.52","152.30M","0.61%"
"02/09/2021","348.01","347.84","348.69","346.06","129.17M","0.41%"
"02/08/2021","346.59","345.97","346.65","344.04","125.77M","0.25%"
"02/05/2021","345.71","345.78","346.32","344.60","122.91M","0.31%"
"02/04/2021","344.65","343.39","347.02","342.71","157.22M","0.50%"
